name,number,reference,citation,dvalue,newk,newknum,refage,D_K,nD_K,D_nK,nD_nK
management,44733,29.961,45.139,0.095,0.257,0.351,-10.896,-10.732,-10.681,-10.345,-11.03
mechanics,208332,17.956,26.037,0.086,0.097,0.12,-12.982,-12.975,-11.897,-13.751,-13.025
economic_system,33287,30.737,38.301,0.084,0.249,0.334,-10.174,-10.064,-10.258,-9.857,-10.178
data_mining,206040,24.451,42.826,0.066,0.189,0.256,-7.766,-7.401,-7.796,-6.96,-7.822
commerce,19945,27.844,38.575,0.12,0.347,0.51,-8.757,-8.55,-8.969,-7.689,-8.809
knowledge_management,134096,30.619,40.519,0.076,0.159,0.209,-8.953,-7.804,-8.566,-8.266,-9.1
petrology,21622,46.21,43.371,0.019,0.185,0.266,-12.196,-13.517,-11.247,-13.842,-12.368
geochemistry,114551,40.855,44.805,0.016,0.093,0.121,-12.15,-13.004,-11.687,-13.88,-12.168
cartography,19021,22.365,26.338,0.113,0.449,0.793,-11.168,-12.118,-11.352,-12.71,-10.712
ophthalmology,48602,24.913,33.744,0.02,0.232,0.315,-10.009,-12.291,-10.228,-12.865,-9.875
mathematical_economics,33246,22.038,44.111,0.016,0.287,0.412,-13.805,-14.897,-12.898,-15.532,-14.132
orthodontics,51099,24.684,31.485,0.036,0.266,0.364,-12.708,-13.329,-12.259,-14.933,-12.78
embedded_system,114857,21.27,30.272,0.169,0.178,0.227,-6.229,-6.607,-6.312,-6.159,-6.21
law,80738,22.786,24.409,0.131,0.213,0.315,-12.51,-13.436,-12.257,-13.478,-12.396
positive_economics,12157,34.553,59.699,0.05,0.43,0.662,-13.652,-13.443,-13.111,-14.653,-14.016
applied_psychology,52538,29.944,53.862,0.054,0.232,0.303,-10.416,-10.075,-10.066,-10.824,-10.506
control_engineering,213345,17.453,25.608,0.078,0.123,0.156,-8.633,-9.487,-8.548,-9.279,-8.579
regional_science,6579,26.252,30.671,0.102,0.487,0.822,-10.125,-10.775,-9.937,-9.462,-10.325
geodesy,24116,20.706,34.355,0.045,0.283,0.402,-10.115,-11.064,-9.967,-10.988,-10.113
electronic_engineering,773770,15.541,26.345,0.13,0.054,0.063,-7.551,-8.505,-7.814,-7.679,-7.508
public_administration,76508,23.769,30.261,0.114,0.164,0.204,-10.236,-9.8,-10.03,-10.128,-10.302
advertising,67789,28.509,42.425,0.092,0.249,0.348,-10.187,-9.754,-9.985,-8.763,-10.409
urology,79649,23.38,36.072,0.019,0.224,0.301,-8.841,-10.247,-9.036,-10.418,-8.747
astrobiology,13703,40.161,41.922,0.038,0.304,0.444,-9.761,-10.117,-9.509,-10.577,-9.834
mathematics_education,96110,23.735,33.89,0.084,0.127,0.154,-10.714,-10.818,-10.597,-11.041,-10.7
classical_economics,1264,25.968,46.741,0.091,0.681,1.48,-13.528,-13.666,-13.865,-10.961,-13.101
earth_science,7030,51.948,55.385,0.039,0.468,0.824,-11.399,-12.432,-10.715,-11.937,-11.931
human_computer_interaction,91290,24.445,35.813,0.097,0.224,0.296,-7.233,-7.125,-7.35,-6.672,-7.264
traditional_medicine,47439,24.439,27.263,0.15,0.387,0.595,-10.751,-10.985,-11.196,-9.237,-10.733
seismology,64303,30.81,37.92,0.022,0.156,0.199,-11.111,-10.923,-10.504,-11.675,-11.211
environmental_health,119424,29.588,44.593,0.045,0.204,0.275,-8.203,-9.052,-8.421,-8.93,-8.103
nuclear_engineering,31059,13.188,19.639,0.145,0.222,0.293,-9.682,-9.649,-9.299,-10.371,-9.677
obstetrics,112850,24.392,36.427,0.024,0.196,0.255,-9.076,-10.599,-9.021,-9.579,-9.066
media_studies,23139,22.85,26.998,0.133,0.307,0.431,-12.668,-14.217,-12.675,-14.044,-12.347
agricultural_science,6698,22.158,22.825,0.146,0.474,0.812,-9.951,-12.347,-9.677,-10.881,-9.685
combinatorial_chemistry,48253,35.248,32.45,0.093,0.278,0.37,-8.552,-9.15,-8.345,-9.122,-8.55
environmental_chemistry,156157,31.86,39.199,0.042,0.176,0.225,-9.747,-11.052,-9.457,-11.396,-9.725
atomic_physics,341350,21.328,27.789,0.053,0.057,0.069,-10.244,-11.733,-9.31,-13.386,-10.123
oceanography,82913,35.252,35.034,0.021,0.169,0.228,-11.543,-13.326,-11.847,-13.633,-11.43
toxicology,52956,34.49,38.837,0.038,0.407,0.616,-10.325,-11.428,-10.047,-11.68,-10.432
welfare_economics,15458,25.215,45.648,0.038,0.432,0.693,-12.559,-9.246,-11.798,-9.969,-13.337
polymer_chemistry,232690,21.44,25.381,0.123,0.071,0.083,-9.966,-10.667,-9.74,-10.59,-9.889
algorithm,251759,18.966,38.192,0.057,0.166,0.227,-9.179,-8.383,-8.808,-7.734,-9.351
molecular_physics,38431,24.195,31.165,0.038,0.218,0.283,-10.527,-12.633,-9.802,-15.178,-10.528
marine_engineering,51077,12.382,17.393,0.153,0.17,0.212,-14.249,-13.89,-13.011,-14.97,-14.385
cell_biology,447274,52.691,77.847,0.011,0.104,0.129,-7.118,-7.483,-7.071,-7.036,-7.123
speech_recognition,102456,21.374,32.572,0.075,0.185,0.238,-8.295,-7.528,-8.342,-7.613,-8.354
labour_economics,74004,26.835,44.35,0.045,0.176,0.226,-10.388,-9.719,-10.087,-9.815,-10.485
epistemology,75151,28.077,35.836,0.069,0.193,0.249,-15.929,-17.669,-14.951,-18.162,-15.965
operating_system,70284,20.862,35.039,0.205,0.172,0.227,-5.476,-5.401,-5.277,-5.481,-5.521
geomorphology,140592,36.532,37.778,0.017,0.122,0.172,-12.622,-13.464,-12.019,-14.718,-12.669
pure_mathematics,66385,16.643,24.993,0.021,0.127,0.167,-14.01,-17.315,-12.856,-16.999,-14.1
medical_emergency,69068,22.71,30.421,0.066,0.257,0.344,-8.047,-8.301,-8.28,-8.089,-7.957
economy,51685,25.607,32.494,0.104,0.249,0.354,-10.975,-11.049,-10.796,-10.464,-11.091
economic_growth,83886,24.46,31.149,0.117,0.172,0.214,-9.091,-9.274,-9.034,-9.463,-9.049
classical_mechanics,243150,21.958,32.359,0.036,0.092,0.117,-13.367,-14.953,-11.716,-17.373,-13.38
computer_vision,415165,19.958,35.157,0.114,0.1,0.125,-7.544,-7.697,-7.917,-6.998,-7.571
water_resource_management,11279,21.198,26.78,0.122,0.328,0.493,-9.657,-10.719,-9.528,-10.662,-9.508
medical_physics,36527,28.65,38.77,0.045,0.357,0.529,-7.809,-8.735,-7.921,-9.034,-7.664
classics,8372,30.325,22.817,0.185,0.345,0.525,-22.06,-24.605,-21.853,-23.918,-21.448
database,120750,24.221,41.945,0.159,0.221,0.341,-5.897,-5.867,-6.369,-5.421,-5.854
chromatography,643135,22.971,31.597,0.05,0.107,0.126,-9.899,-11.238,-9.443,-11.575,-9.857
social_science,178105,29.643,38.466,0.08,0.139,0.173,-12.447,-13.236,-12.123,-13.701,-12.38
genetics,709150,40.662,65.547,0.01,0.127,0.163,-7.852,-8.806,-8.237,-8.572,-7.787
psychoanalysis,17413,23.921,23.479,0.117,0.278,0.395,-16.772,-18.072,-16.836,-17.862,-16.536
environmental_planning,23923,27.554,27.466,0.134,0.279,0.388,-8.543,-8.926,-8.516,-9.387,-8.401
automotive_engineering,171815,13.562,19.44,0.179,0.09,0.105,-10.274,-10.048,-9.707,-10.4,-10.307
operations_research,53884,22.68,37.405,0.076,0.322,0.465,-9.948,-9.409,-9.684,-9.65,-10.118
