name,number,reference,citation,dvalue,newk,newknum,refage,C&D,C&D_p,K&D,K&D_p,K&C,K&C_p,K&A,K&A_p,D&A,D&A_P
operations_management,91173,24.92,42.244,0.069,0.233,0.311,-10.283,-0.0709555259964131,4.405163789615705e-102,0.04719922251762668,3.912812438557519e-46,0.021900116205747083,3.755577192616087e-11,0.05422679982027361,2.4259839461004922e-60,0.03164682498230546,1.2007792604247383e-21
aesthetics,11373,22.041,25.995,0.15,0.396,0.625,-15.369,-0.03485948306444423,0.00020057953426466503,-0.019737624908738656,0.0353019086836019,0.04569213681823346,1.0891055012848722e-06,0.037374726761370616,6.69830970348851e-05,-0.08491747206610867,1.1754677400616438e-19
library_science,19960,24.514,28.549,0.147,0.348,0.509,-9.375,-0.029877127807700736,2.42450999428297e-05,-0.006851244720063572,0.3330974800583657,0.029895551332069746,2.396643450027592e-05,-0.013308901734495462,0.06007464934043485,-0.05334008156465774,4.671841081328739e-14
telecommunications,73888,18.673,34.375,0.166,0.218,0.311,-6.778,-0.0854603204881857,8.457770435598061e-120,-0.009248509855143534,0.011937947483649507,0.02185672591427492,2.8194306329605747e-09,-0.08458967355479202,2.1104530639075883e-117,0.03325591853457432,1.537084521822658e-19
macroeconomics,39748,28.137,46.7,0.028,0.199,0.268,-11.005,-0.034792924607210486,3.962479864417078e-12,0.03839588804245691,1.8953905048035118e-14,0.04782317436989764,1.4336092972294377e-21,0.014239460198485508,0.00452605970558326,0.02140981053444892,1.9652065925365367e-05
marketing,169274,34.512,56.032,0.059,0.149,0.19,-10.665,-0.05972486400948239,1.452642972211931e-133,0.053388581869398634,4.36398297579115e-107,0.0445935048501226,2.9523492655620242e-75,0.0674750042038264,5.3209670300470974e-170,0.057216958255253615,9.948731941391136e-123
computer_hardware,195027,16.587,18.015,0.284,0.107,0.13,-6.888,-0.10438116688985298,0.0,-0.0202288939394943,4.0971615021536866e-19,0.03220900052844558,6.168229664923732e-46,-0.019010664016615348,4.612856601383163e-17,0.03232319679743546,2.9938356323729286e-46
financial_economics,57047,28.082,61.562,0.019,0.176,0.238,-11.234,-0.029309764072779427,2.5261277245884055e-12,0.03894708438322754,1.3317728823033475e-20,0.06108866596934616,2.6464174435917714e-48,0.06982786604729098,1.353855696075066e-62,0.011741588515096879,0.0050401481429720755
animal_science,76073,21.703,28.045,0.034,0.287,0.405,-12.015,-0.07114798695733396,5.996647046582954e-86,0.01004555063570498,0.005593228222540978,0.0424302802204948,1.1609623619108787e-31,0.03733088976612238,7.062394956323571e-25,-0.03488495765949333,6.300779573923884e-22
applied_mathematics,50219,19.056,35.1,0.034,0.242,0.329,-12.011,-0.01794465232958254,5.7816972147618695e-05,0.020113620683285045,6.552644760552739e-06,0.040121215275964975,2.375264162248447e-19,0.06332663374301517,8.512268586375051e-46,-0.04734283764232611,2.5372234378646969e-26
international_economics,23677,25.742,38.715,0.065,0.211,0.277,-9.252,-0.07173570578863428,2.1469910714517634e-28,0.011923629005216083,0.06655062897455918,0.035407892583000436,5.044032007861926e-08,0.03601007902763033,2.981910704623836e-08,0.042690708973156,4.977399561933233e-11
paleontology,117233,38.455,36.834,0.012,0.247,0.387,-15.493,-0.031292327204497455,8.490313014923932e-27,0.0037315081581444005,0.2013787603880099,0.023099481980099968,2.5723785408393347e-15,-0.08301470965957435,2.565834292647021e-178,-0.013816049188082068,2.2375299522849232e-06
nuclear_magnetic_resonance,235406,18.556,26.026,0.05,0.123,0.159,-9.512,-0.037724999627019556,6.876488051965285e-75,-0.004362959898916998,0.03427272062240535,0.05332628245139351,8.306374984725587e-148,0.04010970085218361,2.034571499253753e-84,-0.09416091818124378,0.0
artificial_intelligence,818575,21.536,38.452,0.081,0.082,0.1,-8.057,-0.04556122839225114,0.0,-0.006982598545386866,2.6568609812393425e-10,0.04284666471585524,0.0,-0.013771739322211624,1.224896175616723e-35,0.04683038312736269,0.0
nuclear_physics,73572,21.668,26.351,0.073,0.094,0.114,-8.986,-0.043525776391189736,3.408485168308569e-32,0.015117401396839966,4.1202222647868176e-05,0.013113537719972593,0.0003750723167355922,0.012888891083044612,0.0004721310000078307,-0.10231275928207909,2.22068840456862e-170
keynesian_economics,6287,24.171,35.864,0.045,0.353,0.513,-13.289,-0.04042869552706383,0.0013445882474345072,0.015644870190677312,0.21485688768488265,0.05374800765310216,2.0084733756351665e-05,-0.0028950060997229307,0.8184790601736216,0.019576634186494656,0.12064230789706729
social_psychology,585546,35.503,56.255,0.024,0.082,0.095,-11.635,-0.0335206888042167,3.4857758727151374e-145,0.0227372503425175,8.110567194546438e-68,0.03626858032456883,1.2432692814170412e-169,0.038059791862801846,1.3239625215534487e-186,-0.03963500025156212,3.307875680084754e-202
anatomy,630080,33.19,40.03,0.011,0.158,0.198,-11.221,-0.03827406699904516,6.985050246925785e-203,0.021012349233531957,1.8047188926054698e-62,0.010493500333061706,8.10479681637999e-17,-0.06440154313349583,0.0,-0.06398400006863914,0.0
multimedia,142553,24.809,33.379,0.142,0.168,0.218,-6.632,-0.10379433652256212,0.0,-0.025336519019227784,1.0946208275689108e-21,0.05924434313667497,5.1662294617961764e-111,-0.012910329767208954,1.090240515022574e-06,0.027545524000686904,2.4272399710485767e-25
medicinal_chemistry,49513,19.406,18.518,0.136,0.149,0.194,-10.705,-0.08862386450399856,6.773255161673431e-87,-0.01862730999305052,3.396447340550051e-05,0.05653583240324383,2.4018315530899593e-36,0.032329150754259926,6.22662813724212e-13,-0.0517072359849033,1.1338872033505479e-30
organic_chemistry,1019152,26.447,28.649,0.07,0.062,0.073,-10.614,-0.06492124041138218,0.0,0.013346718334907137,2.2096545251784346e-41,0.019523819640866472,1.7096004334285744e-86,0.01098818505087989,1.3531180422327932e-28,-0.09714267284038544,0.0
computational_science,11104,19.994,43.737,0.076,0.473,0.784,-8.552,-0.02036175427460066,0.031904003526185415,0.02705396321956239,0.004357836910950417,0.021967280802813613,0.020622110314293538,0.06851783834666958,4.909361282646254e-13,0.02795714285709603,0.003216599927604467
ecology,779497,36.5,43.519,0.014,0.152,0.197,-12.764,-0.03656720069656546,8.061219434897388e-229,0.035384435145632415,2.208597950955096e-214,-0.0066637472824799295,4.018738981118798e-09,-0.06956193185127424,0.0,-0.055300261954635194,0.0
programming_language,69421,20.267,41.052,0.06,0.186,0.247,-6.821,-0.03118106625711428,2.0797066892040377e-16,0.017781270040023486,2.795896449882336e-06,0.06806878883106353,4.371922724681913e-72,0.05973776005159865,6.507540609800404e-56,0.01718676405599173,5.937624734836367e-06
visual_arts,10635,15.252,17.073,0.191,0.394,0.627,-15.009,-0.07112726732135019,2.080486397154182e-13,-0.014588302297704053,0.13249424106762203,0.04830941790485993,6.219035429363753e-07,0.019884017987227474,0.040313360544216,-0.09784398349110503,4.820268938671556e-24
dermatology,111687,21.749,27.381,0.035,0.248,0.325,-10.31,-0.0601205003756702,6.0323989813298185e-90,0.021792170760943693,3.2492957240531185e-13,0.03481750369716194,2.602312862009582e-31,-0.0042688748446180185,0.15368609794430776,-0.03066121314151988,1.1938738110199172e-24
electrical_engineering,484782,16.248,23.418,0.188,0.057,0.063,-8.382,-0.09317359434137082,0.0,0.004453653523895875,0.0019291974217343633,0.020506145196583288,2.952551159130811e-46,-0.016753496373952462,1.9099258718127118e-31,-0.009712095970730259,1.358050117569339e-11
